id,name,type,buyable,sellable,chainId,sellCommand,dexName,category,blockchain,uniqueName,description,comingSoon,sortOrder,approxPriceUsd,ikna,priceRuleId,approxPriceChf,cardBuyable,cardSellable,instantBuyable,instantSellable,financialType,decimals,paymentEnabled,amlRuleFrom,amlRuleTo,approxPriceEur,refundEnabled
382,DEPS,Custody,FALSE,FALSE,,,DEPS,Private,XT,XT/DEPS,,FALSE,,0.4250153416,FALSE,51,0.3351254929,FALSE,FALSE,FALSE,FALSE,DEPS,,FALSE,0,0,0.3608344136,TRUE
381,DEURO,Custody,FALSE,FALSE,,,DEURO,Private,XT,XT/DEURO,,FALSE,,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,,FALSE,0,0,1,TRUE
380,USDT,Custody,FALSE,FALSE,,,USDT,Private,XT,XT/USDT,,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.849,TRUE
379,USDC,Custody,FALSE,FALSE,,,USDC,Private,XT,XT/USDC,,FALSE,,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,,FALSE,0,0,0.8489915028,TRUE
378,BTC,Custody,FALSE,FALSE,,,BTC,Private,XT,XT/BTC,,FALSE,,87278.97353,FALSE,11,68819.65463,FALSE,FALSE,FALSE,FALSE,BTC,,FALSE,0,0,74099.1069,TRUE
377,USDT,Token,TRUE,TRUE,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,,USDT,Public,Tron,Tron/USDT,Tether,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,6,FALSE,0,0,0.849,TRUE
376,TRX,Coin,TRUE,TRUE,TNUC9Qb1rRpS5CbWLmNMxXBjyFoydXjWFR,,TRX,Public,Tron,Tron/TRX,Tron,FALSE,,0.2780027824,FALSE,57,0.21920578,FALSE,FALSE,FALSE,FALSE,Other,,FALSE,0,0,0.236022,TRUE
375,xDAI,Coin,TRUE,TRUE,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,,xDAI,Public,Gnosis,Gnosis/xDAI,Gnosis,FALSE,,1,FALSE,4,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,18,FALSE,0,0,0.8489915028,TRUE
374,USDC,Token,TRUE,TRUE,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,USDC,Public,Solana,Solana/USDC,USD Coin,FALSE,,1,FALSE,5,0.7885021082,FALSE,FALSE,FALSE,FALSE,USD,6,TRUE,0,0,0.8489915028,TRUE
373,USDT,Token,FALSE,FALSE,,,USDT,Private,BinancePay,BinancePay/USDT,,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,,TRUE,0,0,0.849,TRUE
372,USDT,Token,TRUE,TRUE,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,,USDT,Public,Solana,Solana/USDT,Tether,FALSE,,1,FALSE,40,0.78851,FALSE,FALSE,FALSE,FALSE,USD,6,TRUE,0,0,0.849,TRUE
371,SOL,Coin,TRUE,TRUE,,,SOL,Public,Solana,Solana/SOL,Solana,FALSE,,122.1112222,FALSE,50,96.2849561,FALSE,FALSE,FALSE,FALSE,Other,,TRUE,0,0,103.67139,TRUE
362,EURC,Token,FALSE,FALSE,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,,EURC,Public,Base,Base/EURC,EURO Coin,FALSE,799,1.17786809,FALSE,39,0.9287514723,FALSE,FALSE,FALSE,FALSE,EUR,6,FALSE,0,0,1,TRUE
